user_input_plate,user_input_brand,user_input_model,user_input_year,expected_brand,expected_model,expected_year,error_type
XLV8167,Honda,Civic,2002,,,,
CZK 7031,Honday,Civic,2001,,,,
CSL 6171,Proton,X70,2024,,,,
NGU 2267,Perodua,Axia,2014,,,,
BPB4469,Toyota,Vi0s,2021,,,,
CDB2669,Peroduaz,Axia,2025,,,,
UZV 7234,Peroduay,Axia,2018,,,,
KTY 2748,Honda,City,2015,,,,
DIZ 3170,Proton,Saga,2099,,,,
AIW4324,Toyota,Camry,2007,,,,
UPW 6549,Protonz,X7,2025,,,,
MDE 9753,Toyota,Vios,2016,,,,
HNA 8419,Proton,X70,2022,,,,
XEW 2120,Honda,C1ty,2099,,,,
KDA 1401,notorP,X70,2023,,,,
YST 9279,Honda,Civic,2099,,,,
AJY 1737,Toyota,Camry,2025,,,,
DCF1536,Honda,ytiC,2025,,,,
JKR 3455,audoreP,Myv1,2024,,,,
JTJ 7870,Honda,Civicx,1970,,,,
RIS 7761,Perodua,ivyM,2023,,,,
NTL 5097,Proton,X70,2024,,,,
GDB 6802,Proton,Saga,2014,,,,
MXZ 3919,Honda,Civi,2012,,,,
IUY 1127,Honda,Civic,2003,,,,
JEA 5158,Honda,City,2014,,,,
ATC 2470,Hondaz,C1ty,2024,,,,
DKN 1763,Toyota,Vios,2022,,,,
PEU 5962,Toyota,Camryy,1800,,,,
SZE 5254,Proton,agaS,2013,,,,
QYY 2929,Perodua,Axia,2019,,,,
UPV 8788,Honda,C1ty,2016,,,,
PDC 9765,Proto,Saga,2012,,,,
VOQ 7661,Peroduax,Axia,2015,,,,
SVI 3256,Proton,X70,2023,,,,
BEL 7592,T0y0ta,Camry,2022,,,,
JAD 2010,adnoH,City,2019,,,,
RSP 6626,Honda,City,2023,,,,
NNV 3338,Per0dua,Axi,2099,,,,
XMW 9522,Honda,C1v1c,2099,,,,
EJT7624,Peroduay,ivyM,2012,,,,
KRD 6297,Hond,ytiC,2099,,,,
MLB1533,T0y0ta,Vios,2024,,,,
ICK 7913,Protonx,Saga,1970,,,,
MQI 2510,Perodua,Axiay,2019,,,,
KFS 1757,Honda,City,2018,,,,
KSJ 7763,Honda,Civic,2015,,,,
BKY 4289,Perodua,Axia,2021,,,,
NZW 1111,Toyota,Vios,2012,,,,
TUQ 8053,Toyota,Camry,2008,,,,
BSN 2884,H0nda,Civic,2006,,,,
SLC 1823,notorP,X70,2019,,,,
CRA 8766,Toyota,Vio,2020,,,,
CXH 9444,Hond,Civic,2006,,,,
IMY 3641,Honda,Civic,2013,,,,
EFY2092,Honda,Civic,2011,,,,
IJN5585,Proton,Saga,1970,,,,
OIZ 4154,Perodu,Myvi,2099,,,,
HAF 3042,H0nda,Civic,2099,,,,
VNV8663,Hond,City,1970,,,,
KSG 7884,Toyota,Camry,2018,,,,
GFW 8664,Hond,Civic,2003,,,,
KAX 8468,notorP,X7,1970,,,,
GLB3969,Perodua,Myvi,2005,,,,
AVF 8345,Proton,Saga,2002,,,,
OVH 4735,Proton,Saga,2018,,,,
OVF 7882,Perodua,Myvi,2014,,,,
YNL 8618,Proton,X70,2024,,,,
RDD 9492,Proton,X7,2025,,,,
RBL7287,Pr0t0n,X70,2023,,,,
BZS 2881,H0nda,civiC,2099,,,,
FJL 7417,Perodua,Myvi,2022,,,,
NGK 3860,Honda,City,2015,,,,
QQM 3648,Toyota,Camryx,1800,,,,
NDN 1938,H0nda,City,2015,,,,
NBN 6680,Honda,Civic,2004,,,,
JBJ 2866,audoreP,Myvi,1970,,,,
EZM 2097,Perodua,Myvi,2008,,,,
QAM 1497,Honda,Civic,2099,,,,
ZCH5727,Proton,X70,2099,,,,
MYH 9772,Perodua,ivyM,2014,,,,
UKA 5319,T0y0ta,Vios,2025,,,,
RTR2999,Perodua,Axi,2016,,,,
KEB 9772,Honda,Civicz,2023,,,,
SSJ6429,Hondax,Civic,2017,,,,
HME 8148,Proto,Saga,2099,,,,
YVE 2529,Proton,X70,2020,,,,
DXE 6904,Perodua,Myvi,1800,,,,
WER 7766,Protonz,Saga,2017,,,,
NPQ9528,Per0dua,Axia,2018,,,,
BHI 2869,Honda,ytiC,1970,,,,
EPC 4023,Proton,X70,2025,,,,
TVQ 6753,Hond,Civic,2099,,,,
JMQ 7162,Toyota,Camryz,2017,,,,
PFE3926,Honda,Civic,1970,,,,
IET 9634,Proton,Saga,2023,,,,
XHG6078,Per0dua,Myv,2006,,,,
SOG 9647,Honda,Cityy,2011,,,,
YWS 8689,Toyota,V1os,1800,,,,
CYD 8496,Honda,Civic,2021,,,,
BDG 2222,Honda,City,2012,,,,
CUL 8412,Pr0t0n,Sagay,2099,,,,
STZ 3438,H0nda,City,2016,,,,
DNH 1556,Toyota,Camry,1800,,,,
LFJ 7605,Perodua,Axi,2019,,,,
LKA3923,Honda,Civicy,2009,,,,
XZI 2711,Toyota,Vios,1970,,,,
RXH5709,Proton,Saga,2023,,,,
